,stimulusLabel,level,res_freq_wp,res_freq_np,rad_freq_wp,rad_freq_np
309,晙嫪,1,11,15,70,127
310,昽岷,1,5,6,70,127
311,轨吧,1,12,19,53,54
312,眦吧,1,12,19,63,85
313,眙圮,1,9,13,63,85
314,瞅嫪,1,11,15,63,85
315,盷捃,1,4,9,63,85
316,眄糨,1,4,6,63,85
317,眇鳚,1,1,6,63,85
318,眙仁,1,1,3,63,85
319,刺鄂,1,3,11,56,58
320,劄鄠,1,1,4,56,58
321,刎乳,1,2,2,56,58
322,剅功,1,4,5,56,58
323,刎敦,1,3,3,56,58
324,剅玫,1,3,3,56,58
325,刚甄,1,3,3,56,58
326,醉吧,1,12,19,55,59
327,醴哏,1,15,19,55,59
328,酰岷,1,5,6,55,59
329,酹糨,1,4,6,55,59
330,醪鳚,1,1,6,55,59
331,醨什,1,5,9,55,59
332,醅仕,1,1,4,55,59
333,醪仗,1,2,4,55,59
334,祛吧,1,12,19,47,47
335,祃哏,1,15,19,47,47
336,祊嫪,1,11,15,47,47
337,径吧,1,12,19,31,32
338,赐吧,1,12,19,32,71
339,贶哏,1,15,19,32,71
340,赗圮,1,9,13,32,71
341,航哏,1,15,19,32,33
342,艏圮,1,9,13,32,33
343,艨嫪,1,11,15,32,33
344,艘伪,1,4,5,32,33
345,舣伫,1,4,5,32,33
346,冶哏,1,15,19,25,25
347,冶圮,1,9,13,25,25
348,劲到,1,2,2,24,36
349,耠哏,1,15,19,18,18
350,畈哏,1,15,19,16,33
351,款卦,1,3,4,18,19
352,欧玫,1,3,3,18,19
353,歆皲,1,2,2,18,19
354,翃甄,1,3,3,14,27
355,貔他,1,7,9,11,12
356,皓仿,1,16,21,12,21
357,皤伉,1,10,11,12,21
358,鼹仃,1,13,19,8,9
359,形乩,1,3,23,7,10
360,取颤,1,2,2,3,13
361,氍剞,1,2,21,3,14
362,阇匍,1,1,15,50,51
363,厅匜,1,1,9,20,21
364,毡匝,1,1,2,6,14
365,肩为,1,2,14,7,21
366,訚名,1,1,8,4,14
367,岛名,1,1,8,3,129
368,縢匙,1,3,16,4,19
369,茁霅,1,1,4,403,405
370,葩岚,1,1,6,403,405
371,𬕂寥,1,2,15,120,120
372,笤岂,1,2,13,120,120
373,筠窘,1,2,9,120,120
374,笺窟,1,2,5,120,120
375,笠茛,1,1,19,120,120
376,筶葭,1,2,6,120,120
377,恁华,1,2,5,69,74
378,昇买,1,2,2,36,127
379,椠华,1,2,5,32,50
380,召乞,1,2,6,21,364
381,盅允,1,5,10,22,23
382,盎势,1,8,8,22,23
383,蛮先,1,2,8,17,173
384,螫党,1,8,8,17,173
385,紊华,1,2,5,14,19
386,晋华,1,2,5,13,127
387,鐾坒,1,2,18,12,15
388,熨劣,1,2,14,12,16
389,衰坒,1,2,18,11,11
390,表导,1,2,6,11,11
391,衰怨,1,3,5,11,11
392,冠丢,1,2,14,8,9
393,岊导,1,2,6,8,129
394,譬坒,1,2,18,9,14
395,譬怨,1,3,5,9,14
396,勇字,1,3,3,7,36
397,翥型,1,1,4,6,27
398,光六,1,2,3,7,11
399,争寥,1,2,15,5,5
400,舁丢,1,2,14,3,8
401,丝允,1,5,10,4,41
402,冕丢,1,2,14,3,3
403,劈型,1,1,4,4,8
404,瑬坒,1,2,18,5,6
405,瑬怨,1,3,5,5,6
406,胁搦,1,2,3,142,149
407,妩熠,1,4,4,144,168
408,媄鳚,1,1,6,144,168
409,箴薜,1,2,19,120,120
410,筥蔃,1,1,6,120,120
411,峣伴,1,10,10,78,129
412,嶍住,1,9,11,78,129
413,除嫪,1,11,15,66,161
414,嵅丢,1,2,14,39,129
415,崴主,1,4,12,39,129
416,嶲二,1,2,18,39,129
417,嶦佯,1,12,15,78,129
418,荄二,1,2,18,403,405
419,湣佽,1,1,9,469,470
420,𬇕俯,1,2,3,469,470
421,湃啵,1,2,4,469,470
422,沭嗾,1,2,5,469,470
423,漴嘛,1,1,7,469,470
424,沪圹,1,6,7,469,470
425,灈娴,1,1,3,469,470
426,槜岷,1,5,6,296,306
427,梴依,1,3,5,296,306
428,楪啵,1,2,4,296,306
429,楫嗍,1,3,6,296,306
430,楪嗾,1,2,5,296,306
431,哩位,1,6,10,292,364
432,吓住,1,9,11,292,364
433,㕮佽,1,1,9,292,364
434,啮偏,1,12,17,292,364
435,揩僧,1,9,13,281,281
436,撩咏,1,4,6,281,281
437,撩咪,1,4,7,281,281
438,垙伎,1,11,14,161,161
439,悌休,1,3,8,150,150
440,惶伟,1,10,14,150,150
441,懒传,1,5,5,150,150
442,妤位,1,6,10,144,168
443,媂佯,1,12,15,144,168
444,婵僧,1,9,13,144,168
445,嬗咛,1,6,7,144,168
446,媒啐,1,9,14,144,168
447,肝佶,1,10,14,142,149
448,腌侑,1,7,10,142,149
449,腌供,1,9,12,142,149
450,腕侠,1,10,11,142,149
451,蜣伏,1,4,8,139,173
452,蛴伟,1,10,14,139,173
453,磻伎,1,11,14,121,132
454,砟伛,1,16,22,121,132
455,磲伟,1,10,14,121,132
456,跞仃,1,13,19,98,98
457,跞仕,1,1,4,98,98
458,郧故,1,3,24,94,161
459,邙斫,1,1,10,94,161
460,嶟倍,1,12,16,78,129
461,嵖倞,1,14,17,78,129
462,嵖傧,1,10,11,78,129
463,眊仳,1,12,18,63,85
464,瞰伎,1,11,14,63,85
465,剞彬,1,2,3,56,58
466,剑相,1,1,3,56,58
467,鞒仳,1,12,18,32,33
468,常凭,1,3,4,11,44
469,幂凳,1,1,11,11,44
470,兴党,1,8,8,8,8
471,具凳,1,1,11,8,8
472,禁党,1,8,8,5,6
473,寺党,1,8,8,4,11
474,漕嫉,1,1,2,469,470
475,泌摭,1,1,5,469,470
476,漫曦,1,2,2,469,470
477,櫆嘛,1,1,7,296,306
478,楔恽,1,7,10,296,306
479,橇摔,1,2,2,296,306
480,咤傧,1,10,11,292,364
481,喧凛,1,3,4,292,364
482,撩嗾,1,2,5,281,281
483,拎嫜,1,10,13,281,281
484,拓忙,1,4,10,281,281
485,𫟹伴,1,10,10,267,267
486,𫔍侬,1,6,6,267,267
487,锻倌,1,7,10,267,267
488,佣吧,1,12,19,255,255
489,便嗍,1,3,6,255,255
490,侁嗾,1,2,5,255,255
491,𬘓吧,1,12,19,164,164
492,绅哏,1,15,19,164,164
493,绖仃,1,13,19,164,164
494,埴伟,1,10,14,161,161
495,㙘伢,1,7,13,161,161
496,墕佳,1,17,21,161,161
497,琀付,1,10,14,163,163
498,玩伏,1,4,8,163,163
499,玕伛,1,16,22,163,163
500,评仳,1,12,18,157,157
501,谱伎,1,11,14,157,157
502,谠伏,1,4,8,157,157
503,怀伢,1,7,13,150,150
504,愫佑,1,2,3,150,150
505,惴何,1,12,16,150,150
506,娉崞,1,9,9,144,168
507,姤搞,1,7,13,144,168
508,婵场,1,12,14,144,168
509,䏲侥,1,16,18,142,149
510,䏲便,1,9,11,142,149
511,𦝼倚,1,17,21,142,149
512,蛲侍,1,9,13,139,173
513,蝌俺,1,7,10,139,173
514,䗖吨,1,13,15,139,173
515,礓估,1,16,24,121,132
516,碌侍,1,9,13,121,132
517,磙僚,1,13,16,121,132
518,涡锕,1,3,4,469,470
519,汨祁,1,2,2,469,470
520,涡仍,1,3,10,469,470
521,湖嗵,1,2,2,469,470
522,浊艋,1,4,4,469,470
523,渑狲,1,1,3,469,470
524,沁钌,1,1,4,469,470
525,泛树,1,1,2,469,470
526,涔嗓,1,3,3,469,470
527,溍姹,1,6,6,469,470
528,浸掷,1,2,2,469,470
529,浞傕,1,2,3,469,470
530,漾暅,1,1,1,469,470
531,泂纻,1,4,5,469,470
532,沂饻,1,3,5,469,470
533,滦擦,1,4,4,469,470
534,湝该,1,11,17,469,470
535,浉耿,1,5,7,469,470
536,渚摔,1,2,2,469,470
537,渺𫮃,1,13,17,469,470
538,滨蝙,1,12,17,469,470
539,测榔,1,3,5,469,470
540,滋蹜,1,2,3,469,470
541,沪踮,1,3,3,469,470
542,消聪,1,1,1,469,470
543,洣髂,1,2,2,469,470
544,温谫,1,1,1,469,470
545,浉悯,1,1,1,469,470
546,浕磲,1,1,2,469,470
547,洼谜,1,2,2,469,470
548,淑蹐,1,2,3,469,470
549,洄吖,1,1,1,469,470
550,泗脑,1,3,3,469,470
551,涛㧟,1,1,1,469,470
552,洓嗨,1,1,1,469,470
553,沪科,1,4,6,469,470
554,漼储,1,2,2,469,470
555,灏嗐,1,3,5,469,470
556,漋谧,1,1,1,469,470
557,滢懔,1,3,4,469,470
558,渤噻,1,1,1,469,470
559,涡铈,1,2,3,469,470
560,洛谚,1,1,2,469,470
561,汤焖,1,1,1,469,470
562,泫榇,1,1,2,469,470
563,溢鳉,1,2,3,469,470
564,濒缠,1,1,1,469,470
565,浛嫁,1,3,3,469,470
566,漋桫,1,1,7,469,470
567,浃擞,1,1,2,469,470
568,㳚醾,1,1,1,469,470
569,涓榈,1,1,1,469,470
570,涣班,1,1,5,469,470
571,浔赃,1,3,3,469,470
572,沟掮,1,1,1,469,470
573,浟继,1,1,2,469,470
574,沤锌,1,3,5,469,470
575,灈仪,1,4,4,469,470
576,澶鳝,1,5,6,469,470
577,溵褯,1,1,1,469,470
578,洫唁,1,3,4,469,470
579,泾骟,1,2,2,469,470
580,淌搅,1,1,1,469,470
581,瀌儦,1,2,3,469,470
582,汨钇,1,3,5,469,470
583,浈拶,1,1,1,469,470
584,泪耙,1,12,19,469,470
585,浛骕,1,2,5,469,470
586,泫杩,1,9,11,469,470
587,浚碾,1,3,3,469,470
588,泐腿,1,3,3,469,470
589,灈吲,1,4,4,469,470
590,浕摒,1,1,1,469,470
591,汾嘱,1,2,2,469,470
592,浈陋,1,1,1,469,470
593,浉扼,1,3,4,469,470
594,溧借,1,11,14,469,470
595,泯缂,1,1,2,469,470
596,汀祆,1,1,8,469,470
597,沱栳,1,4,5,469,470
598,漯懂,1,1,1,469,470
599,汛玙,1,2,3,469,470
600,流捷,1,3,4,469,470
601,滩脿,1,4,4,469,470
602,泜靰,1,4,7,469,470
603,溷楠,1,5,8,469,470
604,汕豺,1,3,6,469,470
605,漏陡,1,2,2,469,470
606,沘铘,1,2,2,469,470
607,潢搽,1,1,1,469,470
608,汝悈,1,3,3,469,470
609,渺𠳐,1,3,4,469,470
610,浰偰,1,7,8,469,470
611,潏纣,1,10,14,469,470
612,汁冻,1,5,7,469,470
613,湿稽,1,1,1,469,470
614,泾惬,1,1,2,469,470
615,澡慌,1,2,2,469,470
616,浸礴,1,2,2,469,470
617,濯嚆,1,1,1,469,470
618,泐橛,1,6,7,469,470
619,浔䏝,1,5,5,469,470
620,汩钷,1,1,2,469,470
621,泅炳,1,3,6,469,470
622,消坯,1,6,8,469,470
623,淄揠,1,4,6,469,470
624,漋怀,1,7,12,469,470
625,澜嫱,1,4,5,469,470
626,沛试,1,4,4,469,470
627,沥铏,1,2,4,469,470
628,海鞡,1,2,2,469,470
629,汪砸,1,2,2,469,470
630,渝喹,1,3,3,469,470
631,漴琎,1,1,1,469,470
632,洭鞴,1,2,2,469,470
633,涓垭,1,4,8,469,470
634,渼垯,1,7,9,469,470
635,泾弼,1,1,1,469,470
636,汛娵,1,4,6,469,470
637,滍撷,1,2,2,469,470
638,涄襻,1,1,1,469,470
639,泖撵,1,1,1,469,470
640,治栉,1,1,1,469,470
641,沽臌,1,1,2,469,470
642,涡酽,1,2,2,469,470
643,涛褂,1,1,1,469,470
644,泜嫕,1,1,1,469,470
645,温醛,1,1,1,469,470
646,洇珏,1,2,4,469,470
647,注崾,1,3,3,469,470
648,沥拜,1,1,2,469,470
649,㵐捯,1,2,2,469,470
650,汴伐,1,2,3,469,470
651,滉珷,1,3,4,469,470
652,泺佞,1,1,1,469,470
653,涯暿,1,7,9,469,470
654,沟恸,1,1,1,469,470
655,泂鲡,1,4,7,469,470
656,湖哔,1,2,4,469,470
657,洳鞯,1,1,1,469,470
658,泌辄,1,1,1,469,470
659,涌狨,1,4,4,469,470
660,涸硕,1,2,2,469,470
661,溷骤,1,1,1,469,470
662,涡蛎,1,3,4,469,470
663,沺私,1,3,10,469,470
664,渼辫,1,1,1,469,470
665,沁叩,1,1,4,469,470
666,氾诩,1,3,4,469,470
667,氾解,1,1,1,469,470
668,汹仞,1,5,6,469,470
669,沃怅,1,8,9,469,470
670,湿殇,1,2,2,469,470
671,汊裣,1,11,13,469,470
672,㴔晔,1,6,6,469,470
673,沼锸,1,2,3,469,470
674,湴绺,1,1,2,469,470
675,汜蚣,1,4,6,469,470
676,瀚咻,1,2,4,469,470
677,漯偬,1,1,2,469,470
678,洣软,1,9,10,469,470
679,演睬,1,2,3,469,470
680,滢槜,1,3,3,469,470
681,泪指,1,4,5,469,470
682,沼饷,1,5,5,469,470
683,湮貔,1,2,4,469,470
684,沔偁,1,1,1,469,470
685,汛𬹼,1,7,11,469,470
686,潲槲,1,1,1,469,470
687,𬇹阴,1,5,7,469,470
688,溹攒,1,5,6,469,470
689,涌踬,1,3,3,469,470
690,浉㶲,1,3,4,469,470
691,漏撬,1,2,2,469,470
692,汉挫,1,5,9,469,470
693,沔绝,1,2,2,469,470
694,汛瑖,1,6,6,469,470
695,浼熄,1,3,3,469,470
696,漯楯,1,3,4,469,470
697,溟锈,1,4,6,469,470
698,泾抑,1,2,4,469,470
699,淴哚,1,4,4,469,470
700,灞凝,1,1,3,469,470
701,渌悸,1,1,1,469,470
702,沾脎,1,2,3,469,470
703,漾旞,1,1,1,469,470
704,浑玳,1,1,7,469,470
705,滨唣,1,1,1,469,470
706,渔栀,1,1,1,469,470
707,渎谗,1,3,3,469,470
708,汊族,1,1,1,469,470
709,淴瞬,1,1,1,469,470
710,泺黟,1,5,8,469,470
711,渫嗲,1,1,1,469,470
712,江炽,1,1,1,469,470
713,𬇹梠,1,4,8,469,470
714,浰璎,1,5,7,469,470
715,江积,1,7,8,469,470
716,沪呻,1,10,11,469,470
717,涅镤,1,8,8,469,470
718,沇镋,1,4,4,469,470
719,海徽,1,1,1,469,470
720,法枵,1,1,2,469,470
721,沤聃,1,2,5,469,470
722,沂修,1,1,1,469,470
723,洇锣,1,4,7,469,470
724,瀱巇,1,1,1,469,470
725,溱𬙊,1,1,1,469,470
726,濡皑,1,7,8,469,470
727,𬇙锶,1,6,10,469,470
728,洣捌,1,1,1,469,470
729,消拐,1,1,2,469,470
730,泪裆,1,6,7,469,470
731,㵐撑,1,1,1,469,470
732,沔煜,1,1,1,469,470
733,涡鲥,1,2,3,469,470
734,潟嘴,1,1,1,469,470
735,渊鲿,1,2,2,469,470
736,滆甥,1,1,2,469,470
737,浃撮,1,2,3,469,470
738,涌犋,1,3,4,469,470
739,沮愣,1,3,4,469,470
740,灞墟,1,2,2,469,470
741,沥惕,1,7,8,469,470
742,洺摆,1,1,1,469,470
743,濉谑,1,1,1,469,470
744,洄强,1,1,1,469,470
745,泖啃,1,2,2,469,470
746,沾锁,1,3,3,469,470
747,浥摁,1,2,3,469,470
748,汊弢,1,1,1,469,470
749,滁缱,1,2,2,469,470
750,汉哕,1,2,4,469,470
751,浉鲣,1,3,3,469,470
752,法褙,1,1,1,469,470
753,沏啮,1,1,1,469,470
754,泗铞,1,1,1,469,470
755,沾觿,1,1,2,469,470
756,渲候,1,1,1,469,470
757,漕齇,1,1,1,469,470
758,泳堽,1,1,1,469,470
759,莅买,1,2,2,403,405
760,蕖亲,1,1,1,403,405
761,苜今,1,1,2,403,405
762,芠壳,1,1,2,403,405
763,菖壶,1,1,1,403,405
764,荏壹,1,1,1,403,405
765,蔹密,1,1,1,403,405
766,莩寝,1,1,1,403,405
767,苷尝,1,1,1,403,405
768,葶景,1,1,17,403,405
769,荄杰,1,1,1,403,405
770,萑爱,1,1,1,403,405
771,菍筷,1,1,1,403,405
772,苔简,1,1,4,403,405
773,萏箜,1,1,7,403,405
774,蕉箪,1,1,17,403,405
775,荸簖,1,1,1,403,405
776,莪罚,1,1,1,403,405
777,荬罹,1,1,1,403,405
778,荻罾,1,1,13,403,405
779,芭羕,1,1,6,403,405
780,茔霈,1,1,1,403,405
781,芏霪,1,1,1,403,405
782,菡鬓,1,1,11,403,405
783,菌𬒈,1,1,6,403,405
784,荟之,1,1,1,403,405
785,䓨叠,1,1,1,403,405
786,苣聂,1,2,3,403,405
787,茛要,1,3,6,403,405
788,荬鬣,1,1,5,403,405
789,茨笯,1,1,10,403,405
790,苧争,1,1,1,403,405
791,节刍,1,2,7,403,405
792,苈笃,1,1,11,403,405
793,萃骉,1,1,1,403,405
794,菼窥,1,1,2,403,405
795,薪寞,1,1,18,403,405
796,薇崭,1,1,7,403,405
797,莴毕,1,3,9,403,405
798,葱守,1,3,14,403,405
799,萘等,1,1,13,403,405
800,茨筘,1,1,1,403,405
801,苕柰,1,4,7,403,405
802,药舁,1,3,5,403,405
803,𬞟丢,1,2,14,403,405
804,莺宽,1,1,1,403,405
805,苌簕,1,1,3,403,405
806,茎筐,1,1,6,403,405
807,苘皇,1,4,12,403,405
808,茹筇,1,1,1,403,405
809,苜癸,1,1,2,403,405
810,薸冔,1,1,1,403,405
